idx X E E_dep
0 1.1363477349311573 0.0 0.0
1 1.3582549594445728 0.0 0.0
2 1.8800578230768115 0.0 0.0
3 1.9504513578878684 0.0 0.0
4 3.158585497232709 0.0 0.0
5 3.4069218719276195 0.0 0.0
6 3.231778544361006 0.0 0.0
7 2.953551405580242 0.0 0.0
8 3.1297493427063086 0.0 0.0
9 3.2644837758385616 0.0 0.0
10 3.159870614084025 0.0 0.0
11 3.7738024048845062 0.0 0.0
12 2.7156679960423347 0.0 0.0
13 2.7536392922066204 0.0 0.0
14 2.6106887737472366 0.0 0.0
15 2.588314107260689 0.0 0.0
16 1.826509023128932 0.0 0.0
17 1.7124325576658541 0.0 0.0
18 1.578694909546361 0.0 0.0
19 1.639508496240011 0.0 0.0
20 1.8775234342594902 0.0 0.0
21 1.5696880323666633 0.0 0.0
22 1.669033517514361 0.0 0.0
23 1.987945884998354 0.0 0.0
24 2.0071828956942093 0.0 0.0
25 2.867677874585975 0.0 0.0
26 2.5940929426901067 0.0 0.0
27 2.142652628182087 0.0 0.0
28 2.622194213327403 0.0 0.0
29 2.4534221145641966 0.0 0.0
30 2.58507148024347 0.0 0.0
31 2.584467505705005 1.0 0.0
32 2.4787741241737384 0.0 0.0
33 1.790986182946905 0.0 0.0
34 2.741379909986774 0.0 0.0
35 3.139611462526873 1.0 0.0
36 2.730405490954497 0.0 0.0
37 2.911968548203364 0.0 0.0
38 2.6710395618674903 0.0 0.0
39 2.3299597535751095 0.0 0.0
40 2.3792463562906034 0.0 0.0
41 2.327864603705771 0.0 0.0
42 1.581508930536406 0.0 0.0
43 1.0731057748172106 0.0 0.0
44 1.6159517774605017 0.0 0.0
45 1.8943462612000357 0.0 0.0
46 2.833295810478315 0.0 0.0
47 2.7854091262170337 0.0 0.0
48 2.896583388562657 0.0 0.0
49 2.668408071315161 0.0 0.0
50 2.678875743523262 0.0 0.0
51 2.5616185466703363 0.0 0.0
52 1.8139786548042043 0.0 0.0
53 1.7896715807436376 0.0 0.0
54 0.9264739940455946 0.0 0.0
55 0.9215948061509602 0.0 0.0
56 1.1336718577430895 0.0 0.0
57 1.3374661344821777 0.0 0.0
58 1.2352119174398564 0.0 0.0
59 1.4230179551365871 0.0 0.0
60 3.3503087244888228 0.0 0.0
61 3.0848675222998203 0.0 0.0
62 3.1256598429367806 0.0 0.0
63 3.107480228851288 0.0 0.0
64 3.3594125949910874 0.0 0.0
65 3.3344662211639955 0.0 0.0
66 3.2279527042750766 0.0 0.0
67 3.149772774099744 0.0 0.0
68 1.2020848258605563 0.0 0.0
69 1.4674228723500877 0.0 0.0
70 1.7306210123169574 0.0 0.0
71 1.7741239978660381 0.0 0.0
72 1.255298828785165 0.0 0.0
73 1.061460330152933 0.0 0.0
74 1.7116570755044735 0.0 0.0
75 1.9114197120935064 0.0 0.0
76 1.8462943306781243 0.0 0.0
77 1.8269447810516715 0.0 0.0
78 1.677596909771384 0.0 0.0
79 2.0822057264740295 0.0 0.0
80 2.537219592655863 0.0 0.0
81 3.1532495844804016 0.0 0.0
82 2.9335835367377974 0.0 0.0
83 2.5634781588147564 0.0 0.0
84 2.754249738889256 0.0 0.0
85 2.7861697287320184 0.0 0.0
86 3.500054448695008 0.0 0.0
87 3.3532800846725532 0.0 0.0
88 2.8642466770910553 0.0 0.0
89 2.6551367052567807 0.0 0.0
90 2.4755534150740934 0.0 0.0
91 2.842287065391173 0.0 0.0
92 2.786451818848163 0.0 0.0
93 2.69115486258759 0.0 0.0
94 1.850855486260014 0.0 0.0
95 1.9396165295133019 0.0 0.0
96 1.88066028214838 0.0 0.0
97 2.294467573594924 0.0 0.0
98 2.1731542474816807 0.0 0.0
99 2.628240632872848 0.0 0.0
100 2.404983780479847 0.0 0.0
101 2.08051654531843 0.0 0.0
102 3.1548742313781863 0.0 0.0
103 2.7650231464274078 0.0 0.0
104 3.159607472856546 0.0 0.0
105 2.337604005290389 0.0 0.0
106 2.249520782928491 0.0 0.0
107 1.8171943251315466 0.0 0.0
108 1.816227246196323 0.0 0.0
109 2.2469210848136414 0.0 0.0
110 1.4113388856277576 0.0 0.0
111 1.4391181877749735 0.0 0.0
112 1.0189608430134072 0.0 0.0
113 1.0880487798702125 0.0 0.0
114 1.1648949127149733 0.0 0.0
115 1.0333989763898483 0.0 0.0
116 1.6848569661367065 0.0 0.0
117 1.73820862022172 0.0 0.0
118 1.564065755059536 0.0 0.0
119 1.6701514690246726 0.0 0.0
120 1.979829430074645 0.0 0.0
121 2.526299189237703 0.0 0.0
122 2.4653697652552555 0.0 0.0
123 3.037989275177728 0.0 0.0
124 2.566996826889102 0.0 0.0
125 2.3896442043313435 0.0 0.0
126 2.2107126181414 0.0 0.0
127 2.048740805220538 0.0 0.0
128 2.083322218735661 0.0 0.0
129 1.4454808409219075 0.0 0.0
130 1.4613572577313794 0.0 0.0
131 1.0686854248541569 0.0 0.0
132 0.9823859820633845 0.0 0.0
133 0.9582862629635764 0.0 0.0
134 1.4807731227215923 0.0 0.0
135 2.302661023749391 0.0 0.0
136 2.219786780052979 0.0 0.0
137 2.3742533139775297 0.0 0.0
138 2.795423189803456 0.0 0.0
139 2.37038202089109 0.0 0.0
140 2.8266248002204444 0.0 0.0
141 2.9966810190948845 0.0 0.0
142 2.764728192839882 0.0 0.0
143 2.16050215153408 0.0 0.0
144 2.0821632638281566 0.0 0.0
145 2.3771439760091635 0.0 0.0
146 2.1302857080580884 0.0 0.0
147 2.518717617088532 0.0 0.0
148 1.9219662225794107 0.0 0.0
149 1.670695090701296 0.0 0.0
150 1.4262648176135024 0.0 0.0
151 1.3026315764715264 0.0 0.0
152 1.3823793139705947 0.0 0.0
153 0.9935121773323934 0.0 0.0
154 0.7350960933117183 0.0 0.0
155 0.37472424029317586 0.0 0.0
156 1.092051630707058 0.0 0.0
157 0.8627372943185192 0.0 0.0
158 1.1519139916452505 0.0 0.0
159 1.3420606230620813 0.0 0.0
160 1.7629356537289882 0.0 0.0
161 1.8536405414807873 0.0 0.0
162 4.201406738261896 0.0 0.0
163 4.4692218557955625 0.0 0.0
164 3.758702829328268 0.0 0.0
165 3.817588394958213 0.0 0.0
166 3.837863692206379 0.0 0.0
167 3.7965485222331647 0.0 0.0
168 3.2365145311518786 0.0 0.0
169 3.0998648082665152 0.0 0.0
170 0.7820697903733613 0.0 0.0
171 0.886063007030071 0.0 0.0
172 0.9189415875008158 0.0 0.0
173 3.4003911078777147 0.0 0.0
174 3.0519540640881857 0.0 0.0
175 2.948148829815823 0.0 0.0
176 3.577036654093222 0.0 0.0
177 3.552978745145754 0.0 0.0
178 4.133630157627585 0.0 0.0
179 4.301303799503405 0.0 0.0
180 5.540750329989063 0.0 0.0
181 3.1185608401450247 0.0 0.0
182 3.5777607472939645 0.0 0.0
183 3.466470913151496 0.0 0.0
184 3.165328906202052 0.0 0.0
185 3.624773476232522 0.0 0.0
186 3.0860268832155104 0.0 0.0
187 3.200553003816238 0.0 0.0
188 1.9369695943033778 0.0 0.0
189 2.1794968775249046 0.0 0.0
190 1.8894173802594088 0.0 0.0
191 2.6430361213180955 0.0 0.0
192 2.989530759761251 0.0 0.0
193 2.6336564076756694 0.0 0.0
194 2.6045729179745014 0.0 0.0
195 2.1738083317494126 0.0 0.0
196 2.2363430609042454 0.0 0.0
197 2.810314299013309 0.0 0.0
198 3.0606251723384834 0.0 0.0
199 2.6584411708720963 0.0 0.0
200 2.7276610604276645 0.0 0.0
201 2.81350577496443 0.0 0.0
202 3.658389170942301 0.0 0.0
203 3.4983942342744543 0.0 0.0
204 3.563696658489766 0.0 0.0
205 2.726474411527021 0.0 0.0
206 2.4254826103647233 0.0 0.0
207 2.696902549431219 0.0 0.0
208 2.1866564356819778 0.0 0.0
209 2.1031294226684762 0.0 0.0
210 1.648191575034145 0.0 0.0
211 1.700327615017526 0.0 0.0
212 2.0041927056336926 0.0 0.0
213 2.134589518934084 0.0 0.0
214 2.1625363899037855 0.0 0.0
215 1.5668778259324028 0.0 0.0
216 1.812673902650359 0.0 0.0
217 1.8023179497242365 0.0 0.0
218 1.3649006452410728 0.0 0.0
219 1.334775886833901 0.0 0.0
220 1.3621632989614274 0.0 0.0
221 1.7444524155392755 0.0 0.0
222 1.8290293022140558 0.0 0.0
223 1.9003062183079902 0.0 0.0
224 1.675894691202463 0.0 0.0
225 1.5347048290884375 0.0 0.0
226 1.5898240236672634 0.0 0.0
227 1.603964135492279 0.0 0.0
228 1.2272217628125848 0.0 0.0
229 0.6734623300625999 0.0 0.0
230 0.9849636489686864 0.0 0.0
231 0.8864470921355452 0.0 0.0
232 0.6858560808627108 0.0 0.0
233 1.4252562647023554 0.0 0.0
234 1.6681786224305497 0.0 0.0
235 1.5649369351262412 0.0 0.0
236 1.7686296967530957 0.0 0.0
237 1.8185333937978971 0.0 0.0
238 1.3952000932016 0.0 0.0
239 1.6469298280074884 0.0 0.0
240 2.378321398979623 0.0 0.0
241 1.7541564455158865 0.0 0.0
242 1.5439043738002889 0.0 0.0
243 2.549992633239317 0.0 0.0
244 2.609083155983001 0.0 0.0
245 3.0791923758857433 0.0 0.0
246 3.3518488588361928 0.0 0.0
247 3.08328359481197 0.0 0.0
248 2.420583606504254 0.0 0.0
249 2.536843958792165 0.0 0.0
250 2.6978929468844917 0.0 0.0
251 1.9297956867373796 0.0 0.0
252 2.2298923077606623 0.0 0.0
253 1.9150845833728654 0.0 0.0
254 2.407070634365538 0.0 0.0
255 3.159757710692463 0.0 0.0
256 2.9533558365727735 0.0 0.0
257 2.6904559912826507 0.0 0.0
258 3.0551176222390652 0.0 0.0
259 2.982320027086071 0.0 0.0
260 2.998602737869151 0.0 0.0
261 3.275368034425832 0.0 0.0
262 2.723554982952267 0.0 0.0
263 2.7266729569790664 0.0 0.0
264 2.7531175010079223 0.0 0.0
265 2.8868793130483077 0.0 0.0
266 2.503866831186586 0.0 0.0
267 2.504711162473982 0.0 0.0
268 2.194850116157714 0.0 0.0
269 1.8972874370992603 0.0 0.0
270 1.811188232548452 0.0 0.0
271 1.1940425581032403 0.0 0.0
272 1.137515796786504 0.0 0.0
273 1.1657486379378528 0.0 0.0
274 1.009466641472816 0.0 0.0
275 1.0959413702341263 0.0 0.0
276 1.0329136095232532 0.0 0.0
277 1.0100583449990435 0.0 0.0
278 1.2999901926148885 0.0 0.0
279 1.4200393558817341 0.0 0.0
280 1.6729269935811022 0.0 0.0
281 1.874216151225321 0.0 0.0
282 1.8698469303530447 0.0 0.0
283 1.7812884802490878 0.0 0.0
284 2.038813499640634 0.0 0.0
285 1.9168319629646002 0.0 0.0
286 1.477456681101682 0.0 0.0
287 1.2923362642802747 0.0 0.0
288 1.5090823925900922 0.0 0.0
289 1.5906474537025002 0.0 0.0
290 1.5312125696815475 0.0 0.0
291 1.526489311567813 0.0 0.0
292 1.4496116499708265 0.0 0.0
293 1.5053758437470783 0.0 0.0
294 1.776914728211841 0.0 0.0
295 1.9757962261385897 0.0 0.0
296 1.752569075032385 0.0 0.0
297 1.343861470534267 0.0 0.0
298 1.587185047301241 0.0 0.0
299 1.766707138807789 0.0 0.0
300 2.129027353436251 0.0 0.0
301 2.2280687152790546 0.0 0.0
302 1.942492371104835 0.0 0.0
303 1.9130233437531343 0.0 0.0
304 1.9233587413079536 0.0 0.0
305 2.0955044866254946 0.0 0.0
306 1.8882306013079997 1.0 0.0
307 1.7516094116474465 0.0 0.0
308 0.9576282349419116 0.0 0.0
309 0.9724633522718931 0.0 0.0
310 2.229728874532668 0.0 0.0
311 2.012997773415946 0.0 0.0
312 1.8122800028324568 0.0 0.0
313 2.015135385082969 0.0 0.0
314 2.411848659899268 0.0 0.0
315 3.122357811650896 0.0 0.0
316 3.0998906921055855 0.0 0.0
317 2.9245285628901923 0.0 1.0
318 3.639805839202638 0.0 0.0
319 4.097534142155103 0.0 0.0
320 4.411671598062531 0.0 0.0
321 4.172957006514506 0.0 0.0
322 3.968767049321422 0.0 0.0
323 3.7668281134161887 0.0 0.0
324 3.985152639023921 0.0 0.0
325 4.035942590124968 0.0 0.0
326 2.5035166204336745 0.0 0.0
327 2.0003851307250384 0.0 0.0
328 1.787163005916656 0.0 0.0
329 2.1539333800653773 0.0 0.0
330 2.178684764429317 0.0 0.0
331 1.6541752400922487 0.0 0.0
332 1.9339608617183148 0.0 0.0
333 1.8286090949091105 0.0 0.0
334 1.4267442771543086 0.0 0.0
335 1.6536626790712656 0.0 0.0
336 1.5952533333705197 0.0 0.0
337 1.1078033240856429 0.0 0.0
338 1.3517026470408386 0.0 0.0
339 1.5138905267392273 0.0 0.0
340 1.5838948292192923 0.0 0.0
341 1.779718296741662 0.0 0.0
342 1.824390552324392 0.0 0.0
343 1.9220509569009063 0.0 0.0
344 2.001587204362849 0.0 0.0
345 2.5621890993346508 0.0 0.0
346 2.8229555704981175 0.0 0.0
347 3.1572013892037125 0.0 0.0
348 3.5858667761976157 0.0 1.0
349 3.691030377995941 0.0 0.0
350 3.6269650040627557 0.0 0.0
