time,#stopislam,#notinmyname,kafir
2013-07-18,1.0,11,3132
2013-07-19,11.0,29,3206
2013-07-20,15.0,53,3471
2013-07-21,4.0,8,3525
2013-07-22,7.0,20,3574
2013-07-23,3.0,7,3381
2013-07-24,6.0,7,3432
2013-07-25,6.0,6,4045
2013-07-26,4.0,9,3926
2013-07-27,1.0,10,5009
2013-07-28,3.0,14,4073
2013-07-29,3.0,15,3996
2013-07-30,2.0,24,3777
2013-07-31,3.0,6,3448
2013-08-01,7.0,37,3556
2013-08-02,3.0,49,4112
2013-08-03,3.0,16,4064
2013-08-04,5.0,12,4411
2013-08-05,5.0,16,3823
2013-08-06,1.0,10,3776
2013-08-07,4.0,16,3142
2013-08-08,1.0,51,2627
2013-08-09,2.0,34,3407
2013-08-10,1.0,28,3283
2013-08-11,3.0,13,4214
2013-08-12,4.0,11,4510
2013-08-13,10.0,20,4394
2013-08-14,7.0,11,6441
2013-08-15,10.0,10,5485
2013-08-16,8.0,21,5848
2013-08-17,10.0,5,5863
2013-08-18,17.0,9,5443
2013-08-19,3.0,34,5705
2013-08-20,1.0,9,5206
2013-08-21,7.0,23,5639
2013-08-22,2.0,14,4676
2013-08-23,17.0,16,5010
2013-08-24,1.0,74,4280
2013-08-25,0.0,26,3539
2013-08-26,2.0,118,3652
2013-08-27,0.0,245,4120
2013-08-28,2.0,295,4224
2013-08-29,2.0,294,4029
2013-08-30,1.0,87,4013
2013-08-31,1.0,53,4242
2013-09-01,1.0,28,3961
2013-09-02,2.0,51,3837
2013-09-03,1.0,30,3845
2013-09-04,1.0,31,3852
2013-09-05,1.0,30,3726
2013-09-06,4.0,22,3711
2013-09-07,5.0,26,3814
2013-09-08,4.0,23,3894
2013-09-09,7.0,17,3621
2013-09-10,7.0,15,3654
2013-09-11,13.0,14,4381
2013-09-12,2.0,5,3735
2013-09-13,4.0,19,4092
2013-09-14,2.0,11,4147
2013-09-15,2.0,14,4498
2013-09-16,2.0,7,4088
2013-09-17,6.0,5,4198
2013-09-18,3.0,8,4005
2013-09-19,5.0,13,4354
2013-09-20,3.0,15,4109
2013-09-21,4.0,17,4276
2013-09-22,15.0,21,4194
2013-09-23,13.0,5,4181
2013-09-24,7.0,8,3478
2013-09-25,2.0,16,3978
2013-09-26,3.0,8,3656
2013-09-27,6.0,16,3593
2013-09-28,4.0,34,3802
2013-09-29,9.0,33,3749
2013-09-30,11.0,33,3617
2013-10-01,8.0,26,3520
2013-10-02,5.0,12,3436
2013-10-03,4.0,5,3573
2013-10-04,3.0,6,3707
2013-10-05,1.0,16,3656
2013-10-06,9.0,5,3630
2013-10-07,7.0,13,3555
2013-10-08,4.0,6,3726
2013-10-09,11.0,12,3859
2013-10-10,2.0,43,3863
2013-10-11,3.0,8,3852
2013-10-12,2.0,15,3829
2013-10-13,1.0,28,3239
2013-10-14,5.0,10,2627
2013-10-15,5.0,11,3221
2013-10-16,4.0,8,3321
2013-10-17,3.0,7,3578
2013-10-18,2.0,10,3804
2013-10-19,3.0,8,3716
2013-10-20,3.0,12,3842
2013-10-21,4.0,7,3838
2013-10-22,1.0,14,3605
2013-10-23,2.0,7,3840
2013-10-24,3.0,9,3745
2013-10-25,2.0,8,4342
2013-10-26,3.0,13,3996
2013-10-27,0.0,12,3819
2013-10-28,2.0,16,3823
2013-10-29,8.0,11,4294
2013-10-30,1.0,14,4543
2013-10-31,1.0,13,4688
2013-11-01,0.0,8,4486
2013-11-02,5.0,3,6001
2013-11-03,2.0,5,4469
2013-11-04,2.0,5,4242
2013-11-05,1.0,16,3862
2013-11-06,5.0,21,3927
2013-11-07,4.0,8,4173
2013-11-08,3.0,11,3968
2013-11-09,10.0,12,4308
2013-11-10,3.0,17,4298
2013-11-11,7.0,6,4075
2013-11-12,3.0,12,4312
2013-11-13,4.0,12,5555
2013-11-14,4.0,16,6101
2013-11-15,9.0,23,6509
2013-11-16,2.0,26,6279
2013-11-17,3.0,10,7865
2013-11-18,3.0,4,7198
2013-11-19,1.0,32,6334
2013-11-20,1.0,14,6339
2013-11-21,3.0,8,6423
2013-11-22,3.0,22,6704
2013-11-23,4.0,9,5962
2013-11-24,1.0,14,5348
2013-11-25,1.0,27,5779
2013-11-26,2.0,15,6751
2013-11-27,1.0,16,7815
2013-11-28,3.0,14,6066
2013-11-29,0.0,9,4606
2013-11-30,1.0,12,4571
2013-12-01,2.0,16,9168
2013-12-02,2.0,12,3936
2013-12-03,0.0,8,3510
2013-12-04,1.0,19,4386
2013-12-05,3.0,19,5128
2013-12-06,3.0,24,6805
2013-12-07,2.0,22,4801
2013-12-08,1.0,10,3568
2013-12-09,2.0,8,3059
2013-12-10,3.0,15,3343
2013-12-11,2.0,17,2883
2013-12-12,0.0,6,2941
2013-12-13,1.0,43,2833
2013-12-14,1.0,32,2426
2013-12-15,2.0,7,2249
2013-12-16,3.0,19,3483
2013-12-17,3.0,11,4668
2013-12-18,9.0,22,4224
2013-12-19,3.0,15,3859
2013-12-20,7.0,19,3915
2013-12-21,1.0,7,7191
2013-12-22,5.0,7,2625
2013-12-23,0.0,19,4157
2013-12-24,2.0,11,4169
2013-12-25,0.0,5,4447
2013-12-26,7.0,9,4004
2013-12-27,8.0,12,3990
2013-12-28,2.0,7,4331
2013-12-29,5.0,12,2446
2013-12-30,7.0,6,4059
2013-12-31,1.0,7,4016
2014-01-01,0.0,3,3910
2014-01-02,5.0,9,4021
2014-01-03,4.0,10,4389
2014-01-04,4.0,2,3935
2014-01-05,0.0,6,2890
2014-01-06,5.0,10,5214
2014-01-07,3.0,14,4877
2014-01-08,3.0,10,5130
2014-01-09,3.0,23,2976
2014-01-10,1.0,538,4222
2014-01-11,1.0,366,4027
2014-01-12,3.0,99,2560
2014-01-13,1.0,55,4220
2014-01-14,1.0,23,4288
2014-01-15,0.0,51,3916
2014-01-16,1.0,37,4127
2014-01-17,2.0,73,3986
2014-01-18,5.0,36,4070
2014-01-19,0.0,31,2774
2014-01-20,2.0,48,4359
2014-01-21,0.0,21,4142
2014-01-22,1.0,19,4031
2014-01-23,3.0,13,2993
2014-01-24,1.0,14,2275
2014-01-25,4.0,39,2267
2014-01-26,1.0,8,2533
2014-01-27,2.0,5,2631
2014-01-28,6.0,16,2329
2014-01-29,1.0,13,2573
2014-01-30,0.0,21,2256
2014-01-31,2.0,31,2312
2014-02-01,2.0,58,2162
2014-02-02,2.0,25,2144
2014-02-03,1.0,19,2339
2014-02-04,1.0,18,2251
2014-02-05,0.0,20,2201
2014-02-06,3.0,16,2155
2014-02-07,7.0,17,2198
2014-02-08,4.0,21,2229
2014-02-09,0.0,10,2619
2014-02-10,1.0,15,2853
2014-02-11,1.0,41,3015
2014-02-12,2.0,29,2914
2014-02-13,1.0,21,3570
2014-02-14,4.0,23,2953
2014-02-15,0.0,21,3116
2014-02-16,4.0,22,3273
2014-02-17,1.0,20,2989
2014-02-18,1.0,52,9368
2014-02-19,2.0,34,5706
2014-02-20,1.0,32,3469
2014-02-21,1.0,30,3656
2014-02-22,2.0,30,3519
2014-02-23,0.0,152,3397
2014-02-24,0.0,54,3887
2014-02-25,0.0,97,3601
2014-02-26,3.0,74,3570
2014-02-27,0.0,25,3390
2014-02-28,0.0,101,3398
2014-03-01,2.0,79,3647
2014-03-02,1.0,47,3678
2014-03-03,2.0,36,3087
2014-03-04,3.0,38,4016
2014-03-05,2.0,42,3277
2014-03-06,1.0,30,2937
2014-03-07,5.0,18,3273
2014-03-08,1.0,15,3191
2014-03-09,1.0,20,3217
2014-03-10,3.0,16,3196
2014-03-11,21.0,26,3060
2014-03-12,0.0,32,3030
2014-03-13,0.0,18,3226
2014-03-14,2.0,79,3042
2014-03-15,1.0,85,3458
2014-03-16,2.0,495,3235
2014-03-17,1.0,85,3228
2014-03-18,1.0,41,3265
2014-03-19,4.0,46,3345
2014-03-20,1.0,43,3016
2014-03-21,1.0,20,2075
2014-03-22,7.0,24,4120
2014-03-23,1.0,33,3222
2014-03-24,0.0,49,3522
2014-03-25,3.0,21,3754
2014-03-26,3.0,22,3381
2014-03-27,2.0,26,3258
2014-03-28,2.0,23,3291
2014-03-29,0.0,21,3405
2014-03-30,2.0,7,3294
2014-03-31,2.0,25,3419
2014-04-01,0.0,14,3223
2014-04-02,1.0,43,3752
2014-04-03,0.0,9,3994
2014-04-04,2.0,21,3672
2014-04-05,8.0,22,4522
2014-04-06,34.0,18,3212
2014-04-07,18.0,17,3186
2014-04-08,12.0,11,3197
2014-04-09,15.0,16,3175
2014-04-10,12.0,18,3073
2014-04-11,10.0,17,3127
2014-04-12,26.0,17,3536
2014-04-13,26.0,26,3195
2014-04-14,14.0,15,3091
2014-04-15,10.0,19,3100
2014-04-16,7.0,16,3023
2014-04-17,13.0,11,3064
2014-04-18,8.0,18,3157
2014-04-19,19.0,6,3276
2014-04-20,18.0,9,4716
2014-04-21,5.0,12,6232
2014-04-22,9.0,22,3919
2014-04-23,8.0,21,3077
2014-04-24,22.0,16,2815
2014-04-25,10.0,14,3846
2014-04-26,22.0,21,3202
2014-04-27,28.0,14,2839
2014-04-28,9.0,46,2855
2014-04-29,11.0,29,2819
2014-04-30,10.0,26,2866
2014-05-01,8.0,20,2897
2014-05-02,10.0,18,2902
2014-05-03,8.0,14,3302
2014-05-04,11.0,11,3058
2014-05-05,7.0,18,2913
2014-05-06,5.0,22,2902
2014-05-07,1.0,25,2934
2014-05-08,2.0,27,2787
2014-05-09,1.0,23,3082
2014-05-10,1.0,25,3158
2014-05-11,4.0,20,3134
2014-05-12,2.0,26,4911
2014-05-13,1.0,79,3121
2014-05-14,0.0,47,3016
2014-05-15,4.0,21,3101
2014-05-16,5.0,18,3027
2014-05-17,2.0,17,3529
2014-05-18,2.0,45,3370
2014-05-19,4.0,15,3477
2014-05-20,3.0,20,3283
2014-05-21,3.0,25,3515
2014-05-22,4.0,19,3382
2014-05-23,4.0,13,3494
2014-05-24,4.0,9,3722
2014-05-25,4.0,36,3306
2014-05-26,1.0,42,3579
2014-05-27,3.0,22,4543
2014-05-28,1.0,13,2570
2014-05-29,5.0,25,1908
2014-05-30,3.0,22,1979
2014-05-31,5.0,9,1873
2014-06-01,3.0,9,1743
